#minQ maxQ frac[0-10] deriv[0-10]
0 20 0 0 0 0 0.457036 0.367963 0.0805074 0 0 0 0 0 0 0 0 0 0 0 0 0 
20 30 0 0 0 0 0.488159 0.342288 0.0768411 0 0 0 0 0 0 0 0 0 0 0 0 0 
30 40 0 0 0 0 0.517167 0.318433 0.0734075 0 0 0 0 0 0 0 0 0 0 0 0 0 
40 50 0 0 0 0 0.54412 0.29636 0.0701881 0 0 0 0 0 0 0 0 0 0 0 0 0 
50 60 0 0 0 0 0.54412 0.29636 0.0701881 0 0 0 0 0 0 0 0 0 0 0 0 0 
60 70 0 0 0 0 0.54412 0.29636 0.0701881 0 0 0 0 0 0 0 0 0 0 0 0 0 
70 80 0 0 0 0 0.569112 0.275994 0.0671664 0 0 0 0 0 0 0 0 0 0 0 0 0 
80 90 0 0 0 0 0.569112 0.275994 0.0671664 0 0 0 0 0 0 0 0 0 0 0 0 0 
90 100 0 0 0 0 0.569112 0.275994 0.0671664 0 0 0 0 0 0 0 0 0 0 0 0 0 
100 110 0 0 0 0 0.569112 0.275994 0.0671664 0 0 0 0 0 0 0 0 0 0 0 0 0 
110 120 0 0 0 0 0.592254 0.257243 0.0643271 0 0 0 0 0 0 0 0 0 0 0 0 0 
120 130 0 0 0 0 0.592254 0.257243 0.0643271 0 0 0 0 0 0 0 0 0 0 0 0 0 
130 140 0 0 0 0 0.592254 0.257243 0.0643271 0 0 0 0 0 0 0 0 0 0 0 0 0 
140 150 0 0 0 0 0.592254 0.257243 0.0643271 0 0 0 0 0 0 0 0 0 0 0 0 0 
150 160 0 0 0 0 0.592254 0.257243 0.0643271 0 0 0 0 0 0 0 0 0 0 0 0 0 
160 170 0 0 0 0 0.592254 0.257243 0.0643271 0 0 0 0 0 0 0 0 0 0 0 0 0 
170 180 0 0 0 0 0.613668 0.24 0.0616564 0 0 0 0 0 0 0 0 0 0 0 0 0 
180 190 0 0 0 0 0.613668 0.24 0.0616564 0 0 0 0 0 0 0 0 0 0 0 0 0 
190 200 0 0 0 0 0.613668 0.24 0.0616564 0 0 0 0 0 0 0 0 0 0 0 0 0 
200 210 0 0 0 0 0.613668 0.24 0.0616564 0 0 0 0 0 0 0 0 0 0 0 0 0 
210 220 0 0 0 0 0.613668 0.24 0.0616564 0 0 0 0 0 0 0 0 0 0 0 0 0 
220 230 0 0 0 0 0.613668 0.24 0.0616564 0 0 0 0 0 0 0 0 0 0 0 0 0 
230 240 0 0 0 0 0.613668 0.24 0.0616564 0 0 0 0 0 0 0 0 0 0 0 0 0 
240 250 0 0 0 0 0.613668 0.24 0.0616564 0 0 0 0 0 0 0 0 0 0 0 0 0 
250 260 0 0 0 0 0.613668 0.24 0.0616564 0 0 0 0 0 0 0 0 0 0 0 0 0 
260 270 0 0 0 0 0.613668 0.24 0.0616564 0 0 0 0 0 0 0 0 0 0 0 0 0 
270 280 0 0 0 0 0.633402 0.224155 0.0591418 0 0 0 0 0 0 0 0 0 0 0 0 0 
280 290 0 0 0 0 0.633402 0.224155 0.0591418 0 0 0 0 0 0 0 0 0 0 0 0 0 
290 300 0 0 0 0 0.633402 0.224155 0.0591418 0 0 0 0 0 0 0 0 0 0 0 0 0 
300 310 0 0 0 0 0.633402 0.224155 0.0591418 0 0 0 0 0 0 0 0 0 0 0 0 0 
310 320 0 0 0 0 0.633402 0.224155 0.0591418 0 0 0 0 0 0 0 0 0 0 0 0 0 
320 330 0 0 0 0 0.633402 0.224155 0.0591418 0 0 0 0 0 0 0 0 0 0 0 0 0 
330 340 0 0 0 0 0.633402 0.224155 0.0591418 0 0 0 0 0 0 0 0 0 0 0 0 0 
340 350 0 0 0 0 0.633402 0.224155 0.0591418 0 0 0 0 0 0 0 0 0 0 0 0 0 
350 360 0 0 0 0 0.633402 0.224155 0.0591418 0 0 0 0 0 0 0 0 0 0 0 0 0 
360 370 0 0 0 0 0.633402 0.224155 0.0591418 0 0 0 0 0 0 0 0 0 0 0 0 0 
370 380 0 0 0 0 0.633402 0.224155 0.0591418 0 0 0 0 0 0 0 0 0 0 0 0 0 
380 390 0 0 0 0 0.633402 0.224155 0.0591418 0 0 0 0 0 0 0 0 0 0 0 0 0 
390 400 0 0 0 0 0.633402 0.224155 0.0591418 0 0 0 0 0 0 0 0 0 0 0 0 0 
400 410 0 0 0 0 0.633402 0.224155 0.0591418 0 0 0 0 0 0 0 0 0 0 0 0 0 
410 420 0 0 0 0 0.633402 0.224155 0.0591418 0 0 0 0 0 0 0 0 0 0 0 0 0 
420 430 0 0 0 0 0.633402 0.224155 0.0591418 0 0 0 0 0 0 0 0 0 0 0 0 0 
430 440 0 0 0 0 0.651391 0.2096 0.0567718 0 0 0 0 0 0 0 0 0 0 0 0 0 
440 450 0 0 0 0 0.651391 0.2096 0.0567718 0 0 0 0 0 0 0 0 0 0 0 0 0 
450 460 0 0 0 0 0.651391 0.2096 0.0567718 0 0 0 0 0 0 0 0 0 0 0 0 0 
460 470 0 0 0 0 0.651391 0.2096 0.0567718 0 0 0 0 0 0 0 0 0 0 0 0 0 
470 480 0 0 0 0 0.651391 0.2096 0.0567718 0 0 0 0 0 0 0 0 0 0 0 0 0 
480 490 0 0 0 0 0.651391 0.2096 0.0567718 0 0 0 0 0 0 0 0 0 0 0 0 0 
490 500 0 0 0 0 0.651391 0.2096 0.0567718 0 0 0 0 0 0 0 0 0 0 0 0 0 
500 510 0 0 0 0 0.651391 0.2096 0.0567718 0 0 0 0 0 0 0 0 0 0 0 0 0 
510 520 0 0 0 0 0.651391 0.2096 0.0567718 0 0 0 0 0 0 0 0 0 0 0 0 0 
520 530 0 0 0 0 0.651391 0.2096 0.0567718 0 0 0 0 0 0 0 0 0 0 0 0 0 
530 540 0 0 0 0 0.651391 0.2096 0.0567718 0 0 0 0 0 0 0 0 0 0 0 0 0 
540 550 0 0 0 0 0.651391 0.2096 0.0567718 0 0 0 0 0 0 0 0 0 0 0 0 0 
